Threshold,True_Negatives,False_Positives,False_Negatives,True_Positives
30,1504,875,274,1699
31,1523,830,288,1711
32,1571,787,293,1701
33,1629,733,329,1661
34,1670,699,339,1644
35,1686,671,342,1653
36,1747,629,385,1591
37,1807,567,415,1563
38,1823,541,449,1539
39,1856,516,458,1522
40,1906,464,496,1486
41,1926,438,528,1460
42,1940,411,548,1453
43,1984,388,562,1418
44,2013,349,573,1417
45,2052,326,615,1359
46,2050,320,612,1370
47,2075,295,634,1348
48,2082,279,649,1342
49,2121,246,657,1328
50,2113,255,679,1305
51,2129,243,710,1270
52,2127,229,718,1278
53,2147,226,717,1262
54,2157,211,739,1245
55,2174,198,749,1231
56,2173,186,762,1231
57,2196,172,795,1189
58,2196,172,813,1171
59,2210,161,808,1173
60,2215,153,843,1141
61,2218,145,848,1141
62,2240,134,848,1130
63,2254,114,874,1110
64,2251,116,880,1105
65,2256,116,894,1086
66,2265,111,920,1056
67,2262,109,939,1042
68,2268,108,946,1030
69,2274,84,973,1021
70,2281,91,994,986
